,epoch,low,high,open,close,volume,datetime
189,1610166600,992.0,997.88,994.41,994.63,177.45349859,2021-01-09 04:30:00+00:00
190,1610167500,994.13,999.91,994.91,996.78,71.67805699,2021-01-09 04:45:00+00:00
191,1610168400,986.19,996.11,996.11,989.82,144.23238646,2021-01-09 05:00:00+00:00
192,1610169300,977.44,989.23,988.75,977.44,107.22630935,2021-01-09 05:15:00+00:00
193,1610170200,971.59,982.43,978.57,981.24,206.56513897,2021-01-09 05:30:00+00:00
194,1610171100,966.71,984.4,981.48,969.69,528.32197184,2021-01-09 05:45:00+00:00
195,1610172000,965.0,978.05,969.39,975.2,472.99730709,2021-01-09 06:00:00+00:00
196,1610172900,963.48,976.0,974.28,969.6,464.42211804,2021-01-09 06:15:00+00:00
197,1610173800,965.01,976.38,969.41,969.02,183.64335421,2021-01-09 06:30:00+00:00
198,1610174700,965.03,976.92,968.21,965.42,230.01781519,2021-01-09 06:45:00+00:00
199,1610175600,962.0,972.0,965.82,972.0,481.61829204,2021-01-09 07:00:00+00:00
200,1610176500,971.99,978.17,972.49,977.4,173.64325679,2021-01-09 07:15:00+00:00
201,1610177400,976.74,983.85,976.74,980.82,154.58612897,2021-01-09 07:30:00+00:00
202,1610178300,975.34,980.68,980.68,979.6,201.39222922,2021-01-09 07:45:00+00:00
203,1610179200,971.1,986.31,979.66,985.09,238.92803604,2021-01-09 08:00:00+00:00
204,1610180100,977.0,984.97,984.43,977.05,323.6038017,2021-01-09 08:15:00+00:00
205,1610181000,977.68,985.0,977.68,983.45,284.55309643,2021-01-09 08:30:00+00:00
206,1610181900,983.69,994.4,984.36,991.4,340.78519783,2021-01-09 08:45:00+00:00
207,1610182800,990.14,1000.0,990.28,997.68,643.80033443,2021-01-09 09:00:00+00:00
208,1610183700,992.11,1001.0,997.66,994.27,475.18028148,2021-01-09 09:15:00+00:00
209,1610184600,987.27,996.41,993.22,989.86,450.93672916,2021-01-09 09:30:00+00:00
210,1610185500,987.84,993.44,989.33,991.79,304.78024086,2021-01-09 09:45:00+00:00
211,1610186400,982.0,995.04,991.79,988.73,542.76680995,2021-01-09 10:00:00+00:00
